2026-06-24 15:08:14,633 | INFO | Attempting to open SELL trade: volume=2.0 lots, risk target=1.0% of $1000.00, stop_distance=0.6236%
2026-06-24 15:08:14,633 | INFO | ✅ TRADE OPENED: SELL position_id=1 volume=2.0 entry≈562.89
2026-06-24 15:08:15,112 | INFO | 🔚 TRADE CLOSED (initial or breakeven stop hit): position_id=1 (total trades completed: 1)
2026-06-24 15:08:16,375 | INFO | Attempting to open SELL trade: volume=2.0 lots, risk target=1.0% of $1000.00, stop_distance=0.4506%
2026-06-24 15:08:16,375 | INFO | ✅ TRADE OPENED: SELL position_id=2 volume=2.0 entry≈568.19
2026-06-24 15:08:16,833 | INFO | Position 2: breakeven reached after 2 favorable candles -- stop moved to entry price 568.19, Stage 3 trailing active.
2026-06-24 15:08:16,853 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=2 (total trades completed: 2)
2026-06-24 15:08:17,623 | INFO | Attempting to open SELL trade: volume=1.347 lots, risk target=1.0% of $1000.00, stop_distance=1.3042%
2026-06-24 15:08:17,623 | INFO | ✅ TRADE OPENED: SELL position_id=3 volume=1.347 entry≈568.92
2026-06-24 15:08:18,237 | INFO | Position 3: breakeven reached after 2 favorable candles -- stop moved to entry price 568.92, Stage 3 trailing active.
2026-06-24 15:08:18,257 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=3 (total trades completed: 3)
2026-06-24 15:08:18,907 | INFO | Attempting to open SELL trade: volume=2.0 lots, risk target=1.0% of $1000.00, stop_distance=0.8323%
2026-06-24 15:08:18,907 | INFO | ✅ TRADE OPENED: SELL position_id=4 volume=2.0 entry≈567.12
2026-06-24 15:08:19,369 | INFO | Position 4: breakeven reached after 2 favorable candles -- stop moved to entry price 567.12, Stage 3 trailing active.
2026-06-24 15:08:19,376 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=4 (total trades completed: 4)
2026-06-24 15:08:19,935 | INFO | Attempting to open SELL trade: volume=2.0 lots, risk target=1.0% of $1000.00, stop_distance=0.8807%
2026-06-24 15:08:19,935 | INFO | ✅ TRADE OPENED: SELL position_id=5 volume=2.0 entry≈564.31
2026-06-24 15:08:20,570 | INFO | Position 5: breakeven reached after 2 favorable candles -- stop moved to entry price 564.31, Stage 3 trailing active.
2026-06-24 15:08:20,576 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=5 (total trades completed: 5)
2026-06-24 15:08:21,231 | INFO | Attempting to open BUY trade: volume=0.677 lots, risk target=1.0% of $1000.00, stop_distance=2.5809%
2026-06-24 15:08:21,231 | INFO | ✅ TRADE OPENED: BUY position_id=6 volume=0.677 entry≈571.90
2026-06-24 15:08:21,685 | INFO | Position 6: breakeven reached after 2 favorable candles -- stop moved to entry price 571.90, Stage 3 trailing active.
2026-06-24 15:08:21,698 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=6 (total trades completed: 6)
2026-06-24 15:08:22,549 | INFO | Attempting to open BUY trade: volume=1.763 lots, risk target=1.0% of $1000.00, stop_distance=0.9849%
2026-06-24 15:08:22,549 | INFO | ✅ TRADE OPENED: BUY position_id=7 volume=1.763 entry≈575.72
2026-06-24 15:08:23,010 | INFO | Position 7: breakeven reached after 2 favorable candles -- stop moved to entry price 575.72, Stage 3 trailing active.
2026-06-24 15:08:23,038 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=7 (total trades completed: 7)
2026-06-24 15:08:24,091 | INFO | Attempting to open BUY trade: volume=2.0 lots, risk target=1.0% of $1000.00, stop_distance=0.7457%
2026-06-24 15:08:24,091 | INFO | ✅ TRADE OPENED: BUY position_id=8 volume=2.0 entry≈584.67
2026-06-24 15:08:24,575 | INFO | Position 8: breakeven reached after 2 favorable candles -- stop moved to entry price 584.67, Stage 3 trailing active.
2026-06-24 15:08:24,583 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=8 (total trades completed: 8)
2026-06-24 15:08:26,001 | INFO | Attempting to open BUY trade: volume=1.636 lots, risk target=1.0% of $1000.00, stop_distance=0.9949%
2026-06-24 15:08:26,001 | INFO | ✅ TRADE OPENED: BUY position_id=9 volume=1.636 entry≈614.11
2026-06-24 15:08:26,484 | INFO | Position 9: breakeven reached after 2 favorable candles -- stop moved to entry price 614.11, Stage 3 trailing active.
2026-06-24 15:08:26,497 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=9 (total trades completed: 9)
2026-06-24 15:08:27,435 | INFO | Attempting to open BUY trade: volume=0.78 lots, risk target=1.0% of $1000.00, stop_distance=2.0892%
2026-06-24 15:08:27,436 | INFO | ✅ TRADE OPENED: BUY position_id=10 volume=0.78 entry≈613.14
2026-06-24 15:08:28,036 | INFO | Position 10: breakeven reached after 2 favorable candles -- stop moved to entry price 613.14, Stage 3 trailing active.
2026-06-24 15:08:28,063 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=10 (total trades completed: 10)
2026-06-24 15:08:28,944 | INFO | Attempting to open BUY trade: volume=1.7 lots, risk target=1.0% of $1000.00, stop_distance=0.9446%
2026-06-24 15:08:28,944 | INFO | ✅ TRADE OPENED: BUY position_id=11 volume=1.7 entry≈622.46
2026-06-24 15:08:29,593 | INFO | Position 11: breakeven reached after 2 favorable candles -- stop moved to entry price 622.46, Stage 3 trailing active.
2026-06-24 15:08:29,601 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=11 (total trades completed: 11)
2026-06-24 15:08:30,376 | INFO | Attempting to open BUY trade: volume=2.0 lots, risk target=1.0% of $1000.00, stop_distance=0.4489%
2026-06-24 15:08:30,376 | INFO | ✅ TRADE OPENED: BUY position_id=12 volume=2.0 entry≈630.44
2026-06-24 15:08:35,701 | INFO | 🔚 TRADE CLOSED (initial or breakeven stop hit): position_id=12 (total trades completed: 12)
2026-06-24 15:08:36,671 | INFO | Attempting to open BUY trade: volume=2.0 lots, risk target=1.0% of $1000.00, stop_distance=0.3374%
2026-06-24 15:08:36,672 | INFO | ✅ TRADE OPENED: BUY position_id=13 volume=2.0 entry≈646.05
2026-06-24 15:08:37,252 | INFO | Position 13: breakeven reached after 2 favorable candles -- stop moved to entry price 646.05, Stage 3 trailing active.
2026-06-24 15:08:37,274 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=13 (total trades completed: 13)
2026-06-24 15:08:38,193 | INFO | Attempting to open BUY trade: volume=1.615 lots, risk target=1.0% of $1000.00, stop_distance=0.9319%
2026-06-24 15:08:38,193 | INFO | ✅ TRADE OPENED: BUY position_id=14 volume=1.615 entry≈664.23
2026-06-24 15:08:38,675 | INFO | Position 14: breakeven reached after 2 favorable candles -- stop moved to entry price 664.23, Stage 3 trailing active.
2026-06-24 15:08:38,721 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=14 (total trades completed: 14)
2026-06-24 15:08:39,834 | INFO | Attempting to open BUY trade: volume=1.647 lots, risk target=1.0% of $1000.00, stop_distance=0.9016%
2026-06-24 15:08:39,834 | INFO | ✅ TRADE OPENED: BUY position_id=15 volume=1.647 entry≈673.28
2026-06-24 15:08:40,453 | INFO | Position 15: breakeven reached after 2 favorable candles -- stop moved to entry price 673.28, Stage 3 trailing active.
2026-06-24 15:08:40,459 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=15 (total trades completed: 15)
2026-06-24 15:08:41,053 | INFO | Attempting to open BUY trade: volume=1.776 lots, risk target=1.0% of $1000.00, stop_distance=0.8345%
2026-06-24 15:08:41,053 | INFO | ✅ TRADE OPENED: BUY position_id=16 volume=1.776 entry≈674.63
2026-06-24 15:08:41,592 | INFO | Position 16: breakeven reached after 2 favorable candles -- stop moved to entry price 674.63, Stage 3 trailing active.
2026-06-24 15:08:41,617 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=16 (total trades completed: 16)
2026-06-24 15:08:42,081 | INFO | Attempting to open BUY trade: volume=2.0 lots, risk target=1.0% of $1000.00, stop_distance=0.7217%
2026-06-24 15:08:42,082 | INFO | ✅ TRADE OPENED: BUY position_id=17 volume=2.0 entry≈674.78
2026-06-24 15:08:42,588 | INFO | Position 17: breakeven reached after 2 favorable candles -- stop moved to entry price 674.78, Stage 3 trailing active.
2026-06-24 15:08:42,625 | INFO | 🔚 TRADE CLOSED (stage3 trailing stop hit): position_id=17 (total trades completed: 17)
